Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Protein families
P04295	TRM3_HHV11	reviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	TRM3 UL15	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	735	Herpesviridae TRM3 protein family
P10212	TRM1_HHV11	reviewed	Tripartite terminase subunit 1	TRM1 UL28	Human herpesvirus 1 (strain 17) (HHV-1) (Human herpes simplex virus 1)	785	Herpesviridae TRM1 protein family
P16732	TRM3_HCMVA	reviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	TRM3 UL89	Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5)	674	Herpesviridae TRM3 protein family
F5HC79	TRM1_HCMVM	reviewed	Tripartite terminase subunit 1	TRM1 UL56	Human cytomegalovirus (strain Merlin) (HHV-5) (Human herpesvirus 5)	850	Herpesviridae TRM1 protein family
C6ZD26	C6ZD26_9ALPH	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	UL15 DEVCV49 ORF47 ORF49 TRM3	Anatid alphaherpesvirus 1	739	Herpesviridae TRM3 protein family
P03219	TRM3_EBVB9	reviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	TRM3 BGRF1/BDRF1	Epstein-Barr virus (strain B95-8) (HHV-4) (Human herpesvirus 4)	690	Herpesviridae TRM3 protein family
G9I236	G9I236_HHV2	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	UL15 TRM3 HSV2S333_G18	Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2)	734	Herpesviridae TRM3 protein family
A0A290Y4A3	A0A290Y4A3_HHV2	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	UL15 TRM3	Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2)	734	Herpesviridae TRM3 protein family
A0A1U9ZL07	A0A1U9ZL07_HHV2	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	UL15 TRM3	Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2)	734	Herpesviridae TRM3 protein family
A0A1U9ZM68	A0A1U9ZM68_HHV2	unreviewed	Tripartite terminase subunit 3 (EC 3.1.-.-) (Terminase large subunit)	UL15 TRM3	Human herpesvirus 2 (HHV-2) (Human herpes simplex virus 2)	734	Herpesviridae TRM3 protein family
